"community_name" "community_other_price" "community_other_num" "community_other_floor" "community_other_area" "community_average_price" "community_average_area" "community_average_floor" "community_average_AreaPrice" "business_district" "business_district_sales_num" "business_district_other_price" "business_district_other_num" "business_district_other_floor" "business_district_other_area" "business_district_average_price" "business_district_average_area" "business_district_average_floor" "business_district_average_AreaPrice"
"1" "新龙城" 146260 52 762 653.13 2812.69230769231 12.5601923076923 14.6538461538462 223.937041630303 "龙泽" 315 841120 315 4949 4225.32 2670.22222222222 13.4137142857143 15.7111111111111 199.066579572671
"2" "交大嘉园" 6320 2 38 24 3160 12 19 263.333333333333 "西直门" 21 74990 21 243 244.27 3570.95238095238 11.6319047619048 11.5714285714286 306.996356490768
"3" "太月园" 85450 21 516 254.83 4069.04761904762 12.1347619047619 24.5714285714286 335.321586940313 "知春路" 59 236430 59 963 713.38 4007.28813559322 12.091186440678 16.3220338983051 331.422243404637
"4" "时代绿荫" 10150 3 84 42.3 3383.33333333333 14.1 28 239.952718676123 "方庄" 76 219830 76 1715 952.34 2892.5 12.5307894736842 22.5657894736842 230.831425751307
"5" "金榜园" 31610 13 79 182.34 2431.53846153846 14.0261538461538 6.07692307692308 173.357464078096 "回龙观" 111 302960 111 692 1715.74 2729.36936936937 15.4571171171171 6.23423423423423 176.576870621423
"6" "天润福熙大道" 50580 14 382 240.9 3612.85714285714 17.2071428571429 27.2857142857143 209.962640099626 "北苑" 84 262210 84 1866 1220.31 3121.54761904762 14.5275 22.2142857142857 214.871630979014
"7" "苹果社区南区" 57790 16 418 220.11 3611.875 13.756875 26.125 262.550542910363 "双井" 102 370750 102 2262 1414.81 3634.80392156863 13.8706862745098 22.1764705882353 262.049321110255
"8" "芳群公寓" 13370 4 124 66.4 3342.5 16.6 31 201.355421686747 "刘家窑" 32 90900 32 477 388.55 2840.625 12.1421875 14.90625 233.946725003217
"9" "清河文苑" 7780 2 46 29.85 3890 14.925 23 260.636515912898 "永泰庄" 148 442150 148 1835 2000.55 2987.5 13.5172297297297 12.3986486486486 221.0142210892
"10" "风景club" 6180 2 22 21.7 3090 10.85 11 284.792626728111 "草桥" 68 173910 68 1721 818.58 2557.5 12.0379411764706 25.3088235294118 212.4532727406
"11" "美景东方" 18890 6 114 90.01 3148.33333333333 15.0016666666667 19 209.865570492168 "潘家园" 66 193810 66 921 822.67 2936.51515151515 12.464696969697 13.9545454545455 235.586565694628
"12" "国美第一城3号院" 70530 22 597 273.6 3205.90909090909 12.4363636363636 27.1363636363636 257.785087719298 "青年路" 162 534380 162 3507 2218.95 3298.64197530864 13.6972222222222 21.6481481481481 240.825615719146
